"1 - New Mexico, USA",2,2,2,2,,,,,,,SEM,David,Reported Average
10 - Oman,120,120,120,120,,,,,,,No information given,NA,Reported Average
"11 - Mali, West Africa",40,20,30,40,,,,,,,No information given,NA,Mean from Reported Range
12 - Algeria,17.5,12.7,12.7,12.7,,17.5,,,,,No information given,NA,Reported Average
"13 - Doha, Qatar",32,32,32,32,,,,,,,LPSA,NA,Reported Average
14 - Mexico City,17.02,17.02,17.02,17.02,,,,,,,Beckmann Laser diffractometer,NA,Reported Average
"15 - Xian, China",53.954,6.315,30.1345,53.954,,,,,,,LPSA Winner2000ZDE Laser ,NA,Reported Average
"16 - Baghdad, Iraq",1.2,1.1,1.15,1.2,,,,,,,Laser optical photometer,NA,Mean from Reported Range
"17 - Jazan, Saudi Arabia",10,10,10,10,,,,,,,Microscopy Olympus CX21I microscope and the Image J analyzer so_ware,NA,Reported Average
18 - Libya,1000,0.5,500.25,1000,,,,,,,No information given,NA,Mean from Reported Range
"19 - Vellore, India",3,1,2,3,,,,,,,No information given,NA,Mean from Reported Range
"2 - Daggett, California, USA",5,1,3,5,,,,,,,SEM,NA,Mean from Reported Range
20 - Kuwait,6.4,6.4,6.4,6.4,,,,,,,No information given,NA,Reported Average
"21 - Sede Boqer, Israel",20,15,17.5,20,,,,,,,PSA MonoZoom- Video Microscope System; particle size analysis done using specialty software,NA,Mean from Reported Range
"22 - Sonora, Mexico",2.081393175,0.51369144,1.297542308,2.081393175,,,,,,,LPSA Coulter model Fraunhofer LS 100Q,NA,Reported Average
"23 - Baghdad, Iraq",50,0.356,25.178,50,,,,,,,PSA SALD-2101 ,NA,Mean from Reported Range
24 - Qatar,2,2,2,2,,,,,,,AFM,NA,Reported Average
25 - Qatar,18,18,18,18,,,,,,,PSA LS13-321MW laser diffraction particle size analyzer (Beckman Coulter Inc),NA,Reported Average
26 - Libya,250,0,250,250,,,,,,,SEM,NA,Mean from Reported Range
27 - Oman,63,2,32.5,63,,,,,,,Sieve,NA,Mean from Reported Range
28 - Riyadh,90,30,60,90,,,,,,,SEM,NA,Mean from Reported Range
29 - Iraq,120,30,75,120,,,,,,,SEM,NA,Mean from Reported Range
