9 - Iraq,80,240,400,,,
37 - U.K.,153.2,153.2,153.2,,,
8 - Lybia,120,120,120,,,
10 - Oman,120,120,120,,,
29 - Iraq,30,75,120,,,
28 - Riyadh,30,60,90,,,
44 - India,20,50,80,,,
43 - Chile,0,50,50,,,
"34 - Kalkbult, South Africa",47,47,47,,,
30 - Brazil,40,45,50,,,
"7 - Negev Desert, Israel",15,37.5,60,,,
"48 - Unspecified ""several locations around the world""",15,37.5,60,,,
27 - Oman,2,32.5,63,,,
39 - Belgium,5,32.5,60,,,
"13 - Doha, Qatar",32,32,32,,,
"15 - Xian, China",6.315,30.1345,53.954,,,
"11 - Mali, West Africa",20,30,40,,,
"23 - Baghdad, Iraq",0.356,25.178,50,,,
36 - Saudi Arabia,20,20,20,,200,
"5 - Sede Boqer, Israel",20,20,20,,,
25 - Qatar,18,18,18,,,
"21 - Sede Boqer, Israel",15,17.5,20,,,
14 - Mexico City,17.02,17.02,17.02,,,
45 - Egypt,3,16.5,30,,,
33 - India,15,15,15,,,
12 - Algeria,12.7,12.7,12.7,,17.5,
42 - Poland,0,10,10,10,20,30
"17 - Jazan, Saudi Arabia",10,10,10,,,
"47 - Doha, Qatar",6,8,10,,,
20 - Kuwait,6.4,6.4,6.4,,,
32 - Worldwide (unspecified),2,6,10,,60,
"40 - Sonora, Mexico",5,5,5,,,
38 - Australia,0,4,4,4,6,8
41 - Indonesia,0,4,4,4,6,8
"2 - Daggett, California, USA",1,3,5,,,
"4 - New Mexico, USA",1,3,5,,,
46 - Qatar,2.3,2.3,2.3,,,
"19 - Vellore, India",1,2,3,,,
"1 - New Mexico, USA",2,2,2,,,
24 - Qatar,2,2,2,,,
"22 - Sonora, Mexico",0.51369144,1.297542308,2.081393175,,,
35 - Saudi Arabia,1.2,1.2,1.2,,,
"16 - Baghdad, Iraq",1.1,1.15,1.2,,,
"6 - Yinchuan, China",1.1,1.1,1.1,,1.7,
31 - Saudi Arabia,0.8,0.8,0.8,,,
"3 - New Mexico, USA",0.3,0.65,1,,,
