Name,Latitude,Longitude,low,mid,high
47 - Riyadh,24.7135517,46.6752957,60,,
46 - India,20.593684,78.96288,50,,
"45 - Nebraska, USA",41.4925374,-99.9018131,65,,
"44 - Sede Boqer, Israel",30.873611,34.793098,34,17.5,
43 - Oman,21.4735329,55.975413,32.5,,
42 - Belgium,50.503887,4.469936,6,60,
"38 - Gansu Province, China",35.7518326,104.2861116,30,,
"39 - Baghdad, Iraq",33.3128057,44.3614875,25.178,,
40 - Chile,-35.675147,-71.542969,50,,
"37 - Kalkbult, South Africa",-30.4678242,24.0853165,47,,
"36 - Mali, West Africa",17.570692,-3.996166,30,,
"35 - Doha, Qatar",25.2854473,51.5310398,32,,
"33 - Negev Desert, Israel",30.7140861,34.8757476,17.5,,
34 - Egypt,26.820553,30.802498,16.5,,
"32 - Sede Boqer, Israel",30.873611,34.793098,20,,
31 - Qatar,25.354826,51.183884,18,,
30 - Algeria,28.033886,1.659626,15.1,,
29 - Mexico City,19.4326077,-99.133208,17.02,,
